epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1487.4,0.81092,0.45471,0.99497,0.92364,0.89904,0.95729,0.71505,1.01333,0.58808,1.0796,0.0005348,0.0005348,0.0005348
76,1506.59,0.81186,0.46707,0.99691,0.95013,0.86538,0.96148,0.70987,0.99159,0.55706,1.06913,0.000515,0.000515,0.000515
77,1526.38,0.79177,0.43938,0.99075,0.96712,0.84854,0.96423,0.70782,1.02578,0.57806,1.07354,0.0004952,0.0004952,0.0004952
78,1545.53,0.79202,0.4451,0.99075,0.92868,0.87647,0.95815,0.71331,1.00386,0.58273,1.08988,0.0004754,0.0004754,0.0004754
79,1565.46,0.78899,0.44626,0.98739,0.93842,0.86058,0.94407,0.70446,1.02055,0.63382,1.08807,0.0004556,0.0004556,0.0004556
80,1584.58,0.78936,0.44331,0.98376,0.92204,0.88942,0.95808,0.71288,1.00205,0.57107,1.07452,0.0004358,0.0004358,0.0004358
81,1604.15,0.76746,0.43275,0.97489,0.96248,0.86329,0.95612,0.70715,1.02982,0.5953,1.0851,0.000416,0.000416,0.000416
82,1623.47,0.75199,0.4251,0.97539,0.95762,0.87019,0.96016,0.71923,1.02737,0.60127,1.08017,0.0003962,0.0003962,0.0003962
83,1643.14,0.75242,0.42627,0.96771,0.9342,0.88942,0.96255,0.70908,1.04456,0.5369,1.08666,0.0003764,0.0003764,0.0003764
84,1662.72,0.77169,0.43122,0.98607,0.94816,0.87933,0.9528,0.70886,1.00272,0.58567,1.08067,0.0003566,0.0003566,0.0003566
85,1682.64,0.73832,0.4225,0.96419,0.96765,0.86281,0.95673,0.72307,0.99898,0.58324,1.07955,0.0003368,0.0003368,0.0003368
86,1702.86,0.7524,0.42743,0.97215,0.97295,0.86451,0.95328,0.72164,0.9998,0.58325,1.07105,0.000317,0.000317,0.000317
87,1722.6,0.74919,0.43019,0.97528,0.96752,0.85922,0.95122,0.71527,0.98747,0.57968,1.05873,0.0002972,0.0002972,0.0002972
88,1743.45,0.72871,0.41195,0.95775,0.94687,0.88462,0.95872,0.71746,1.00456,0.57561,1.07608,0.0002774,0.0002774,0.0002774
89,1763.11,0.74013,0.41129,0.97254,0.95344,0.86538,0.95813,0.71727,1.01769,0.56417,1.08497,0.0002576,0.0002576,0.0002576
90,1783.21,0.73201,0.40667,0.95768,0.95043,0.87019,0.95172,0.71542,1.01451,0.58582,1.07869,0.0002378,0.0002378,0.0002378
91,1803.98,0.70979,0.38884,0.95351,0.91172,0.89377,0.95506,0.7157,0.99438,0.54563,1.07647,0.000218,0.000218,0.000218
92,1823.47,0.71439,0.37717,0.94989,0.93292,0.87981,0.95994,0.71212,1.00615,0.53142,1.0691,0.0001982,0.0001982,0.0001982
93,1842.32,0.68701,0.3551,0.94031,0.94265,0.87019,0.95682,0.72314,0.99558,0.57691,1.07868,0.0001784,0.0001784,0.0001784
94,1861.95,0.68022,0.36192,0.94226,0.94785,0.87388,0.95392,0.71723,0.99017,0.57023,1.07445,0.0001586,0.0001586,0.0001586
95,1880.82,0.66871,0.35097,0.93515,0.93356,0.87821,0.95536,0.72032,0.99183,0.57252,1.07336,0.0001388,0.0001388,0.0001388
96,1900.3,0.66995,0.35444,0.9336,0.93755,0.875,0.95352,0.71322,1.00836,0.59901,1.07545,0.000119,0.000119,0.000119
97,1919.3,0.64916,0.34068,0.92529,0.93788,0.87019,0.95951,0.71666,1.01412,0.58131,1.08227,9.92e-05,9.92e-05,9.92e-05
98,1939.01,0.65954,0.34657,0.93251,0.94261,0.8686,0.95494,0.71638,1.01769,0.58034,1.08689,7.94e-05,7.94e-05,7.94e-05
99,1958.03,0.65679,0.34438,0.92797,0.94252,0.86721,0.95264,0.70801,1.01116,0.58748,1.08702,5.96e-05,5.96e-05,5.96e-05
100,1977.8,0.64912,0.34397,0.92714,0.93845,0.86538,0.95164,0.71521,1.01063,0.59179,1.08927,3.98e-05,3.98e-05,3.98e-05
